time	V(vout)
Step Information: Run=0  (Run: 1/8)
4.304554500403803e+000	8.670872e-004
4.344554500403802e+000	8.671046e-004
4.384554500403802e+000	8.680712e-004
4.424554500403801e+000	8.732585e-004
4.464554500403800e+000	8.843663e-004
4.466429500403798e+000	8.866146e-004
4.484867000403799e+000	9.367650e-004
4.486117000403798e+000	9.530615e-004
4.488617000403799e+000	1.005671e-003
4.489242000403799e+000	1.048502e-003
4.490492000403798e+000	1.328549e-003
4.490804500403797e+000	1.558531e-003
4.490814266028796e+000	1.576748e-003
4.490833797278796e+000	1.640812e-003
4.490872859778797e+000	1.819705e-003
4.490882625403796e+000	1.895007e-003
4.490902156653796e+000	2.120208e-003
4.490907039466297e+000	2.207758e-003
4.490916805091295e+000	2.456526e-003
4.490919246497544e+000	2.545497e-003
4.490924129310045e+000	2.843912e-003
4.490931384778467e+000	3.516053e-003
4.490932609347308e+000	3.721815e-003
4.490935058484986e+000	4.346558e-003
4.490935670769407e+000	4.577371e-003
4.490936895338248e+000	5.249621e-003
4.490937800073734e+000	5.985028e-003
4.490938608808019e+000	6.931990e-003
4.490938810991590e+000	7.271609e-003
4.490939215358733e+000	8.241030e-003
4.490939700122969e+000	9.979525e-003
4.490940117598939e+000	1.245353e-002
4.490940417468135e+000	1.550849e-002
4.490940640369221e+000	1.940067e-002
4.490940819487179e+000	2.470865e-002
4.490940972937469e+000	3.244634e-002
4.490941109585179e+000	4.430164e-002
4.490941235938522e+000	6.337633e-002
4.490941359216297e+000	9.611656e-002
4.490941492784259e+000	1.558729e-001
4.490941624375125e+000	2.484701e-001
4.490941800122574e+000	4.182406e-001
4.490941988430095e+000	6.347119e-001
4.490942216638111e+000	9.179655e-001
4.490942491417567e+000	1.266839e+000
4.490943016266389e+000	1.929604e+000
4.490944065964033e+000	3.161127e+000
4.490944255187277e+000	3.280800e+000
4.490944443900066e+000	3.297693e+000
4.490944506354843e+000	3.298160e+000
4.490944567696189e+000	3.298346e+000
4.490944690378882e+000	3.298532e+000
4.490944894863340e+000	3.298704e+000
4.490945303832255e+000	3.298859e+000
4.490946121770087e+000	3.298980e+000
4.490947757645746e+000	3.299057e+000
4.490951029397067e+000	3.299101e+000
4.490957572899706e+000	3.299121e+000
4.490970659904985e+000	3.299129e+000
4.491153877978903e+000	3.299130e+000
4.517746672707371e+000	3.299131e+000
4.544548859520315e+000	3.299131e+000
4.584548859520314e+000	3.299131e+000
4.624548859520314e+000	3.299132e+000
4.664548859520313e+000	3.299132e+000
4.704548859520312e+000	3.299133e+000
4.744548859520311e+000	3.299133e+000
4.784548859520310e+000	3.299133e+000
4.864548859520308e+000	3.299131e+000
4.904548859520308e+000	3.299122e+000
4.944548859520307e+000	3.299107e+000
4.945173859520306e+000	3.299104e+000
4.946423859520305e+000	3.299098e+000
4.955173859520304e+000	3.299053e+000
4.957673859520305e+000	3.299012e+000
4.958298859520305e+000	3.298988e+000
4.959548859520304e+000	3.298892e+000
4.959861359520303e+000	3.298844e+000
4.960095734520305e+000	3.298766e+000
4.960134797020306e+000	3.298746e+000
4.960212922020308e+000	3.298676e+000
4.960369172020307e+000	3.298437e+000
4.960408234520308e+000	3.298322e+000
4.960418000145307e+000	3.298272e+000
4.960442414207808e+000	3.298104e+000
4.960452179832807e+000	3.297980e+000
4.960471711082807e+000	3.297601e+000
4.960476593895308e+000	3.297405e+000
4.960486359520306e+000	3.296752e+000
4.960487506362355e+000	3.296615e+000
4.960489800046450e+000	3.296171e+000
4.960491998764617e+000	3.295591e+000
4.960492546006119e+000	3.295372e+000
4.960493640489119e+000	3.294712e+000
4.960494849482895e+000	3.293630e+000
4.960495495861899e+000	3.292675e+000
4.960496077257279e+000	3.291413e+000
4.960496170767840e+000	3.291133e+000
4.960496357788962e+000	3.290368e+000
4.960496731831210e+000	3.288135e+000
4.960497121969297e+000	3.284154e+000
4.960497395779420e+000	3.278846e+000
4.960497595977031e+000	3.271453e+000
4.960497751828221e+000	3.260903e+000
4.960497882315980e+000	3.245134e+000
4.960498004591294e+000	3.219139e+000
4.960498129056241e+000	3.173816e+000
4.960498259391752e+000	3.097024e+000
4.960498409211258e+000	2.968285e+000
4.960498607004912e+000	2.753304e+000
4.960498837625803e+000	2.473271e+000
4.960499078559948e+000	2.168928e+000
4.960499484722536e+000	1.651433e+000
4.960500297047712e+000	6.214687e-001
4.960500636163062e+000	2.129320e-001
